participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_prop_excl,read_story_excl,time_exp_excl,focusevents_excl
2026,included,False,False,False,False,False,False,False,False,False
2027,excluded,True,False,False,False,False,False,False,False,False
2028,included,False,False,False,False,False,False,False,False,False
2029,included,False,False,False,False,False,False,False,False,False
2030,included,False,False,False,False,False,False,False,False,False
2031,excluded,True,False,False,False,False,False,False,False,False
2032,included,False,False,False,False,False,False,False,False,False
2033,included,False,False,False,False,False,False,False,False,False
2034,included,False,False,False,False,False,False,False,False,False
2035,included,False,False,False,False,False,False,False,False,False
2036,included,False,False,False,False,False,False,False,False,False
2037,included,False,False,False,False,False,False,False,False,False
2038,included,False,False,False,False,False,False,False,False,False
2039,excluded,False,False,False,False,False,False,False,True,False
2040,included,False,False,False,False,False,False,False,False,False
2041,excluded,False,True,False,False,False,False,False,False,False
2042,excluded,False,False,False,True,False,False,False,False,False
2043,excluded,False,False,True,True,False,False,False,False,False
2044,excluded,True,True,True,False,False,False,False,True,False
2045,excluded,False,False,False,True,False,False,False,True,False
2046,included,False,False,False,False,False,False,False,False,False
2047,included,False,False,False,False,False,False,False,False,False
2048,included,False,False,False,False,False,False,False,False,False
2049,included,False,False,False,False,False,False,False,False,False
2050,included,False,False,False,False,False,False,False,False,False
2051,included,False,False,False,False,False,False,False,False,False
2052,included,False,False,False,False,False,False,False,False,False
2053,included,False,False,False,False,False,False,False,False,False
2054,excluded,False,False,False,False,False,False,False,True,False
2055,included,False,False,False,False,False,False,False,False,False
2056,included,False,False,False,False,False,False,False,False,False
2057,included,False,False,False,False,False,False,False,False,False
2058,excluded,False,False,True,True,False,False,False,False,False
2059,included,False,False,False,False,False,False,False,False,False
2060,excluded,False,False,False,False,False,False,False,True,True
2061,excluded,False,False,False,True,False,False,False,False,False
2062,included,False,False,False,False,False,False,False,False,False
2063,included,False,False,False,False,False,False,False,False,False
2064,excluded,True,False,False,False,False,False,False,False,False
2065,included,False,False,False,False,False,False,False,False,False
2066,excluded,True,False,False,False,False,False,False,False,False
2067,included,False,False,False,False,False,False,False,False,False
2068,included,False,False,False,False,False,False,False,False,False
2069,excluded,False,False,False,False,False,False,False,False,True
2070,included,False,False,False,False,False,False,False,False,False
2071,excluded,False,False,False,False,False,False,False,False,True
2072,excluded,False,False,False,True,False,False,False,False,False
2073,included,False,False,False,False,False,False,False,False,False
2074,included,False,False,False,False,False,False,False,False,False
2075,included,False,False,False,False,False,False,False,False,False
2076,excluded,False,True,False,False,False,False,False,False,False
2077,included,False,False,False,False,False,False,False,False,False
2078,included,False,False,False,False,False,False,False,False,False
2079,included,False,False,False,False,False,False,False,False,False
2080,excluded,False,True,False,False,False,False,False,True,False
2081,included,False,False,False,False,False,False,False,False,False
2083,included,False,False,False,False,False,False,False,False,False
2084,included,False,False,False,False,False,False,False,False,False
1281,excluded,False,True,False,True,True,False,True,False,False
2085,excluded,False,False,False,True,False,False,False,False,False
1319,excluded,False,True,False,True,False,False,False,True,True
2086,included,False,False,False,False,False,False,False,False,False
2087,included,False,False,False,False,False,False,False,False,False
2088,included,False,False,False,False,False,False,False,False,False
2089,excluded,False,True,False,False,False,False,False,False,False
2090,excluded,False,False,False,True,False,False,False,True,True
2091,included,False,False,False,False,False,False,False,False,False
2092,included,False,False,False,False,False,False,False,False,False
2093,included,False,False,False,False,False,False,False,False,False
2094,excluded,False,True,False,False,False,False,False,False,False
2095,excluded,True,False,True,True,False,False,False,False,False
2096,included,False,False,False,False,False,False,False,False,False
1250,included,False,False,False,False,False,False,False,False,False
