participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,time_unpressed_excl,focusevents_excl
1256,excluded,False,False,False,False,False,False,True,True,False,False
1311,excluded,True,False,True,True,False,False,False,False,False,False
1344,included,False,False,False,False,False,False,False,False,False,False
1270,excluded,True,False,False,False,False,False,False,False,False,False
1271,excluded,False,False,False,False,False,False,True,False,False,False
1312,included,False,False,False,False,False,False,False,False,False,False
1345,excluded,False,True,False,True,False,False,False,True,False,True
1346,included,False,False,False,False,False,False,False,False,False,False
1272,included,False,False,False,False,False,False,False,False,False,False
1347,included,False,False,False,False,False,False,False,False,False,False
1273,included,False,False,False,False,False,False,False,False,False,False
1274,included,False,False,False,False,False,False,False,False,False,False
1257,excluded,False,True,True,False,False,False,False,False,False,False
1313,included,False,False,False,False,False,False,False,False,False,False
1233,excluded,False,True,False,False,False,False,False,False,False,False
1234,included,False,False,False,False,False,False,False,False,False,False
1357,excluded,False,False,False,True,False,False,False,False,False,False
1275,included,False,False,False,False,False,False,False,False,False,False
1235,included,False,False,False,False,False,False,False,False,False,False
1359,included,False,False,False,False,False,False,False,False,False,False
1314,included,False,False,False,False,False,False,False,False,False,False
1348,included,False,False,False,False,False,False,False,False,False,False
1315,included,False,False,False,False,False,False,False,False,False,False
1316,included,False,False,False,False,False,False,False,False,False,False
1317,excluded,False,False,False,True,False,False,False,False,False,False
1349,excluded,True,False,False,False,False,False,False,False,False,False
1069,included,False,False,False,False,False,False,False,False,False,False
1258,included,False,False,False,False,False,False,False,False,False,False
1318,included,False,False,False,False,False,False,False,False,False,False
1259,included,False,False,False,False,False,False,False,False,False,False
1319,excluded,True,False,True,True,False,False,False,True,False,True
1320,excluded,False,False,True,True,False,False,False,False,False,False
1276,included,False,False,False,False,False,False,False,False,False,False
1260,included,False,False,False,False,False,False,False,False,False,False
1236,included,False,False,False,False,False,False,False,False,False,False
1321,included,False,False,False,False,False,False,False,False,False,False
1322,included,False,False,False,False,False,False,False,False,False,False
