participantID,exclusion,spr_char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl,suppress_probe_excl
1304,excluded,False,True,False,False,False,False,False,False,False,False
1384,excluded,True,False,False,False,False,False,False,False,False,False
1385,included,False,False,False,False,False,False,False,False,False,False
1005,included,False,False,False,False,False,False,False,False,False,False
1386,excluded,False,False,False,False,False,False,True,False,False,False
1387,excluded,False,False,False,False,False,False,False,True,False,False
1232,excluded,False,True,False,False,False,False,False,False,False,False
1305,excluded,False,True,False,False,False,False,False,False,False,False
1306,included,False,False,False,False,False,False,False,False,False,False
1238,excluded,False,False,False,False,False,False,False,True,True,False
1229,included,False,False,False,False,False,False,False,False,False,False
1307,excluded,True,False,False,True,False,False,True,True,False,True
1295,included,False,False,False,False,False,False,False,False,False,False
1308,excluded,True,True,False,False,False,False,False,False,False,False
1309,excluded,False,True,False,False,False,False,False,False,False,False
1388,included,False,False,False,False,False,False,False,False,False,False
1296,included,False,False,False,False,False,False,False,False,False,False
1389,included,False,False,False,False,False,False,False,False,False,False
1310,included,False,False,False,False,False,False,False,False,False,False
1390,excluded,False,True,False,False,False,False,False,True,True,False
1391,included,False,False,False,False,False,False,False,False,False,False
1392,excluded,True,False,False,False,False,False,False,False,False,False
1393,excluded,False,False,False,False,False,False,False,True,True,False
1311,excluded,True,False,True,True,False,False,False,True,True,False
1297,included,False,False,False,False,False,False,False,False,False,False
1312,excluded,True,True,False,False,False,False,False,False,False,False
1313,included,False,False,False,False,False,False,False,False,False,False
1314,included,False,False,False,False,False,False,False,False,False,False
1315,excluded,True,False,False,True,False,False,False,True,True,False
1394,included,False,False,False,False,False,False,False,False,False,False
1395,included,False,False,False,False,False,False,False,False,False,False
1417,included,False,False,False,False,False,False,False,False,False,False
1316,included,False,False,False,False,False,False,False,False,False,False
1396,included,False,False,False,False,False,False,False,False,False,False
1317,excluded,True,False,False,False,False,False,False,False,False,False
1397,included,False,False,False,False,False,False,False,False,False,False
1398,excluded,True,True,False,True,False,False,False,False,False,False
1668,included,False,False,False,False,False,False,False,False,False,False
1318,included,False,False,False,False,False,False,False,False,False,False
1399,excluded,False,True,False,False,False,False,False,False,False,False
1418,excluded,False,False,False,False,False,False,True,False,False,False
1400,excluded,False,True,False,False,False,False,False,False,False,False
1419,excluded,True,False,False,False,False,False,False,False,False,False
1401,excluded,False,True,False,True,False,False,False,False,False,False
1420,excluded,True,False,False,False,False,False,False,False,False,False
1402,included,False,False,False,False,False,False,False,False,False,False
1421,excluded,True,False,False,False,True,False,False,False,False,False
1620,included,False,False,False,False,False,False,False,False,False,False
1621,excluded,False,False,False,True,False,False,False,False,False,False
1403,included,False,False,False,False,False,False,False,False,False,False
1404,included,False,False,False,False,False,False,False,False,False,False
1422,included,False,False,False,False,False,False,False,False,False,False
1405,included,False,False,False,False,False,False,False,False,False,False
1406,included,False,False,False,False,False,False,False,False,False,False
1423,excluded,False,True,False,False,False,False,False,True,False,False
1424,included,False,False,False,False,False,False,False,False,False,False
1407,included,False,False,False,False,False,False,False,False,False,False
1425,excluded,True,False,False,False,False,False,False,False,False,False
1426,included,False,False,False,False,False,False,False,False,False,False
1622,included,False,False,False,False,False,False,False,False,False,False
1427,included,False,False,False,False,False,False,False,False,False,False
1428,included,False,False,False,False,False,False,False,False,False,False
1408,excluded,False,True,False,True,False,False,False,True,True,False
1409,included,False,False,False,False,False,False,False,False,False,False
1410,included,False,False,False,False,False,False,False,False,False,False
1429,excluded,False,False,False,True,False,False,False,False,False,False
1430,included,False,False,False,False,False,False,False,False,False,False
1623,included,False,False,False,False,False,False,False,False,False,False
1411,included,False,False,False,False,False,False,False,False,False,False
1431,excluded,False,False,False,False,False,False,False,True,False,False
1432,excluded,False,False,False,False,True,False,True,False,False,True
1433,included,False,False,False,False,False,False,False,False,False,False
1434,included,False,False,False,False,False,False,False,False,False,False
1435,included,False,False,False,False,False,False,False,False,False,False
1436,included,False,False,False,False,False,False,False,False,False,False
1624,included,False,False,False,False,False,False,False,False,False,False
1437,included,False,False,False,False,False,False,False,False,False,False
1438,included,False,False,False,False,False,False,False,False,False,False
1439,included,False,False,False,False,False,False,False,False,False,False
1440,excluded,True,True,False,False,False,False,False,False,False,False
1441,included,False,False,False,False,False,False,False,False,False,False
1442,included,False,False,False,False,False,False,False,False,False,False
1443,included,False,False,False,False,False,False,False,False,False,False
1412,included,False,False,False,False,False,False,False,False,False,False
1444,included,False,False,False,False,False,False,False,False,False,False
1445,excluded,False,False,False,False,False,False,False,True,False,False
1413,excluded,False,True,False,False,False,False,False,False,False,False
1446,included,False,False,False,False,False,False,False,False,False,False
1447,excluded,True,True,False,False,False,False,True,True,False,False
1448,included,False,False,False,False,False,False,False,False,False,False
1449,excluded,True,False,False,False,False,False,False,False,False,False
1450,included,False,False,False,False,False,False,False,False,False,False
1451,included,False,False,False,False,False,False,False,False,False,False
1673,included,False,False,False,False,False,False,False,False,False,False
1452,included,False,False,False,False,False,False,False,False,False,False
1453,included,False,False,False,False,False,False,False,False,False,False
1454,included,False,False,False,False,False,False,False,False,False,False
1455,included,False,False,False,False,False,False,False,False,False,False
1456,excluded,False,False,False,False,False,False,False,False,True,False
1457,included,False,False,False,False,False,False,False,False,False,False
1458,excluded,True,False,False,False,True,False,False,False,False,False
1459,included,False,False,False,False,False,False,False,False,False,False
1460,included,False,False,False,False,False,False,False,False,False,False
1461,excluded,False,True,False,False,False,False,False,False,False,False
1625,included,False,False,False,False,False,False,False,False,False,False
1462,included,False,False,False,False,False,False,False,False,False,False
1463,included,False,False,False,False,False,False,False,False,False,False
1464,excluded,False,True,False,False,False,False,False,False,False,False
1465,included,False,False,False,False,False,False,False,False,False,False
1466,included,False,False,False,False,False,False,False,False,False,False
1467,included,False,False,False,False,False,False,False,False,False,False
1414,excluded,True,True,True,True,False,False,False,True,True,False
1468,excluded,True,False,False,False,False,False,False,True,False,False
1669,excluded,False,False,False,True,False,False,False,False,False,False
1674,included,False,False,False,False,False,False,False,False,False,False
1469,included,False,False,False,False,False,False,False,False,False,False
1415,included,False,False,False,False,False,False,False,False,False,False
1416,included,False,False,False,False,False,False,False,False,False,False
1470,included,False,False,False,False,False,False,False,False,False,False
1471,included,False,False,False,False,False,False,False,False,False,False
1626,excluded,False,False,False,True,False,False,False,False,False,False
1472,excluded,True,True,False,False,False,False,False,True,True,False
1473,excluded,True,False,False,False,True,False,False,False,False,True
1627,excluded,False,True,False,False,False,False,False,False,False,False
1628,excluded,False,False,False,True,False,False,False,True,False,False
1474,excluded,False,False,False,False,False,False,False,True,False,False
1475,included,False,False,False,False,False,False,False,False,False,False
1476,excluded,False,False,False,False,False,False,False,True,False,False
1477,included,False,False,False,False,False,False,False,False,False,False
1478,included,False,False,False,False,False,False,False,False,False,False
1479,included,False,False,False,False,False,False,False,False,False,False
1480,included,False,False,False,False,False,False,False,False,False,False
