participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2536,included,False,False,False,False,False,False,False,False,False,False,False
2537,included,False,False,False,False,False,False,False,False,False,False,False
2538,excluded,True,False,False,False,False,False,False,True,True,True,False
2539,excluded,False,False,False,False,False,False,False,False,False,True,False
2540,included,False,False,False,False,False,False,False,False,False,False,False
2541,included,False,False,False,False,False,False,False,False,False,False,False
2542,excluded,False,False,False,False,False,False,False,False,False,True,False
2543,excluded,True,False,False,False,True,False,True,False,False,False,False
2544,included,False,False,False,False,False,False,False,False,False,False,False
2545,included,False,False,False,False,False,False,False,False,False,False,False
2546,included,False,False,False,False,False,False,False,False,False,False,False
2547,included,False,False,False,False,False,False,False,False,False,False,False
2548,included,False,False,False,False,False,False,False,False,False,False,False
2549,included,False,False,False,False,False,False,False,False,False,False,False
2550,included,False,False,False,False,False,False,False,False,False,False,False
2551,included,False,False,False,False,False,False,False,False,False,False,False
2552,included,False,False,False,False,False,False,False,False,False,False,False
2553,included,False,False,False,False,False,False,False,False,False,False,False
2554,excluded,False,False,False,False,False,False,False,False,False,True,False
2555,excluded,False,False,False,False,False,False,False,True,True,False,False
2556,excluded,True,False,False,False,False,False,False,False,False,False,False
2557,excluded,True,False,False,False,False,False,False,False,False,False,False
2558,included,False,False,False,False,False,False,False,False,False,False,False
2559,excluded,False,False,False,False,False,False,False,False,False,True,False
2560,excluded,True,False,False,False,False,False,False,False,False,False,False
2561,included,False,False,False,False,False,False,False,False,False,False,False
2562,included,False,False,False,False,False,False,False,False,False,False,False
2563,excluded,False,False,False,True,True,False,False,False,False,False,False
2564,excluded,False,False,False,False,False,False,True,False,False,False,False
2565,excluded,False,False,False,True,False,False,False,False,False,False,False
2566,included,False,False,False,False,False,False,False,False,False,False,False
2567,included,False,False,False,False,False,False,False,False,False,False,False
2568,excluded,False,False,False,False,False,False,False,False,False,True,False
2569,excluded,False,False,False,True,False,False,False,False,False,True,False
2570,excluded,True,False,False,False,False,False,False,False,False,False,False
2571,excluded,True,False,False,False,False,False,True,False,False,False,False
2572,excluded,True,False,False,False,True,False,False,False,False,True,False
2573,included,False,False,False,False,False,False,False,False,False,False,False
2574,included,False,False,False,False,False,False,False,False,False,False,False
2575,included,False,False,False,False,False,False,False,False,False,False,False
2576,excluded,True,True,True,True,False,False,False,False,False,False,False
2577,excluded,False,False,False,False,False,False,False,True,True,False,False
2578,included,False,False,False,False,False,False,False,False,False,False,False
2579,excluded,True,False,False,True,False,False,False,False,False,False,False
2580,excluded,True,False,True,True,False,False,True,True,True,True,False
2581,excluded,False,False,False,False,False,False,True,False,False,False,False
2582,included,False,False,False,False,False,False,False,False,False,False,False
2583,included,False,False,False,False,False,False,False,False,False,False,False
2584,excluded,False,True,False,False,False,False,False,False,False,False,False
2585,included,False,False,False,False,False,False,False,False,False,False,False
2586,excluded,False,False,False,False,False,False,False,False,True,False,False
